Close,High,Low,Open,Volume
AAPL,AAPL,AAPL,AAPL,AAPL
6.412382125854492,6.427063933097077,6.363542513990631,6.395003586660348,493729600
6.423470497131348,6.459725770133888,6.389611919821682,6.430062510422484,601904800
6.3212971687316895,6.448939726298231,6.314705154942795,6.4234709821632485,552160000
6.309609413146973,6.35215745553289,6.2637661647555,6.344666532568945,477131200
6.351558208465576,6.352157882392279,6.264067022712402,6.301220402913081,447610800
6.295527458190918,6.382120124333299,6.245788531546514,6.376127386171497,462229600
6.223917007446289,6.285341792950317,6.184965397212214,6.267962446730356,594459600
6.311707019805908,6.32009685372256,6.115450034182275,6.228410754835679,605892000
6.27515172958374,6.306013929007738,6.262867017221309,6.295527037973845,432894000
6.170283794403076,6.340174380415731,6.168485972324162,6.320098700534521,594067600
6.443244457244873,6.447739010868917,6.209533669533791,6.242192892387339,730007600
6.3440680503845215,6.458526159944489,6.2772502135695065,6.439349796022371,612152800
6.234402656555176,6.39140921432311,6.208634679550814,6.354555070474916,608154400
5.925186634063721,6.217325936614053,5.907508849444591,6.195752870616379,881767600
6.084588050842285,6.133427271282473,5.998294613398157,6.067808782451741,1065699600
6.170581340789795,6.4033940204885855,6.069905738776532,6.170880977701429,1867110000
6.2287116050720215,6.309611195641393,5.978519908036721,6.197849393791141,1722568400
5.971327781677246,6.157398321587291,5.953650002252873,6.140319816045054,1173502400
5.75469446182251,6.058519465791993,5.70046138517537,6.0249609343931025,1245952400
5.8346967697143555,5.872749862649446,5.7319236951239105,5.763984048998566,749876400
5.868553161621094,5.882336457270804,5.79424522010351,5.870051745980059,698342400
5.96953010559082,5.9985944895338,5.825407933817409,5.847880304896154,615328000
5.754395008087158,5.9437607138080955,5.740012437987531,5.894621066066173,757652000
5.856569290161133,5.872749685135227,5.718439859387999,5.771774435315068,850306800
5.81641960144043,5.929080701016608,5.812823957827483,5.863461805277764,478270800
5.878440856933594,5.917692083557184,5.835293951268251,5.8853321043327735,632886800
5.846380233764648,5.890726087766112,5.820612264617394,5.869451471246659,370361600
5.952749729156494,5.985110113511673,5.814620322046428,5.839190147193132,550345600
6.0039873123168945,6.041740763674654,5.8577676975469775,5.93597093246009,655468800
6.094476699829102,6.1031657718344725,6.038146150105147,6.0507305026867755,543737600
6.069005966186523,6.121740451472071,6.018367738698702,6.118144809280094,436396800
6.080391883850098,6.109156623784818,6.0201660721563925,6.04143949017106,422825200
6.042639255523682,6.088482903479071,6.025859988311388,6.04833275696529,415469600
6.005186557769775,6.067509847610116,5.96833241047278,6.062716056121905,390563600
5.904510021209717,6.032452187705773,5.864060236524932,5.992601276821062,575094800
6.012376308441162,6.03574718455996,5.927879909957222,5.939565748065853,460566400
6.052528381347656,6.078296360687781,5.8994174900099265,5.914099301501303,665126000
6.1310296058654785,6.147509234712396,6.052526741188169,6.0639125429217255,507460800
6.261969089508057,6.277249772124554,6.155899621496936,6.164888328927103,550093600
6.257772922515869,6.317099419830958,6.224513631535668,6.290132502829294,566546400
6.272157669067383,6.288338068011176,6.230509723835681,6.2604726254846,372052800
6.313504219055176,6.319796593872443,6.251180944822406,6.2706577431155885,366041200
6.560400009155273,6.58287237695585,6.4309596666850535,6.440248410729658,899620400
6.564295768737793,6.594557898173138,6.539426303882049,6.592161202809905,429889600
6.682348728179932,6.741675228884419,6.528638612651174,6.541222961278,920259200
6.736881732940674,6.756058494803572,6.687742880864082,6.706619605773602,596218000
6.756659030914307,6.756659030914307,6.691340166127251,6.709018748865817,405700400
6.78961706161499,6.823474831799158,6.7641483246888745,6.8126879031978165,416323600
6.706919193267822,6.75665691873694,6.5993515457319365,6.7530620760126725,493502800
6.72519588470459,6.741076239607191,6.667067929040096,6.717106088834971,446908000
6.715307712554932,6.785121100950151,6.689839379458039,6.738678587623974,450956800
6.7311882972717285,6.7416751877218495,6.670063575651784,6.714707869294955,342109600
6.659277439117432,6.7488668686802535,6.628714876489338,6.735383608724794,559445600
