Close,High,Low,Open,Volume,Return,MA_5,MA_20,Volatility,Future_Return,Target
1.3700000047683716,1.4119999408721924,1.3506669998168945,1.3940000534057617,9295500,-0.019093312001988383,1.3868000030517578,1.3247667014598847,0.023864553765183923,0.008272254525232503,1
1.3813329935073853,1.3933329582214355,1.3673330545425415,1.3700000047683716,7008000,0.008272254525232503,1.393466591835022,1.3142000019550324,0.023641954767603193,-0.017856629679271374,0
1.3566670417785645,1.3919999599456787,1.3333330154418945,1.3846670389175415,9240000,-0.017856629679271374,1.3848000049591065,1.3026000022888184,0.0158695413052608,-0.020147975299607768,0
1.329332947731018,1.3626669645309448,1.303333044052124,1.3466670513153076,6403500,-0.020147975299607768,1.3667999982833863,1.2958666503429412,0.011970034963564245,0.049148019509556384,1
1.3946670293807983,1.3980000019073486,1.3553329706192017,1.3666670322418213,10771500,0.049148019509556384,1.3664000034332275,1.3016000032424926,0.02988850920173767,0.049234677414874195,1
1.463333010673523,1.463333010673523,1.3880000114440918,1.399999976158142,18457500,0.049234677414874195,1.385066604614258,1.3210666537284852,0.03424265466802036,-0.03143508926483185,0
1.4173330068588257,1.4786670207977295,1.3899999856948853,1.463333010673523,13695000,-0.03143508926483185,1.392266607284546,1.33926665186882,0.0399531186839257,-0.03809974068609223,0
1.363332986831665,1.4366669654846191,1.3366669416427612,1.4359999895095825,11943000,-0.03809974068609223,1.393599796295166,1.3492332994937897,0.04378966671756009,-0.042053550458681865,0
1.305999994277954,1.343999981880188,1.301332950592041,1.340000033378601,11128500,-0.042053550458681865,1.3889332056045531,1.3565333008766174,0.04746830376738947,0.0005107013613774303,1
1.3066669702529907,1.3320000171661377,1.2966669797897339,1.3266669511795044,12190500,0.0005107013613774303,1.3713331937789917,1.3650332987308502,0.03830032339758679,-0.029081616408254796,0
1.2686669826507568,1.309999942779541,1.254667043685913,1.309999942779541,19219500,-0.029081616408254796,1.3323999881744384,1.3680000007152557,0.016772982679313056,-0.05938040000563782,0
1.1933330297470093,1.2586669921875,1.190000057220459,1.246000051498413,11964000,-0.05938040000563782,1.2875999927520752,1.3615333020687104,0.02202437714900335,-0.016759764816661193,0
1.1733330488204956,1.1933330297470093,1.1593329906463623,1.1866669654846191,10365000,-0.016759764816661193,1.2496000051498413,1.3538999557495117,0.022986151338703107,0.040909082134644725,1
1.2213330268859863,1.2300000190734863,1.1773329973220825,1.2120000123977661,9510000,0.040909082134644725,1.2326666116714478,1.3461666047573089,0.03712255671573685,0.025109406435195103,1
1.2519999742507937,1.2533329725265503,1.2173329591751099,1.2300000190734863,7287000,0.025109406435195103,1.2217332124710083,1.3357332527637482,0.040771674284957996,0.019702096741006203,1
1.2766669988632202,1.2933330535888672,1.2519999742507935,1.2640000581741333,6718500,0.019702096741006203,1.223333215713501,1.3318999528884887,0.04025162306917187,-0.019843859526424312,0
1.2513329982757568,1.305999994277954,1.2400000095367432,1.305999994277954,9019500,-0.019843859526424312,1.2349332094192504,1.3270666003227234,0.02685321775547317,0.0010660247527327638,1
1.25266695022583,1.2833329439163208,1.222000002861023,1.2359999418258667,8686500,0.0010660247527327638,1.2507999897003175,1.3196999490261079,0.02340329415061502,0.016497603950921036,1
1.273332953453064,1.2740000486373901,1.2339999675750732,1.2433329820632935,4440000,0.016497603950921036,1.2611999750137328,1.31239994764328,0.018193124990767664,0.05392702198597532,1
1.3420000076293943,1.3593330383300781,1.2666670083999634,1.2726670503616333,16321500,0.05392702198597532,1.279199981689453,1.30966659784317,0.027135077211211486,-0.04619972867894773,0
1.2799999713897705,1.3140000104904175,1.2633329629898071,1.2833329439163208,10096500,-0.04619972867894773,1.2798665761947632,1.30516659617424,0.03776139112288538,0.0364585787756424,1
1.3266669511795044,1.3320000171661377,1.237333059310913,1.2773330211639404,7549500,0.0364585787756424,1.2949333667755127,1.302433294057846,0.03834864330079621,-0.0075376796372036425,0
1.3166669607162476,1.3513330221176147,1.3066669702529907,1.3259999752044678,6507000,-0.0075376796372036425,1.3077333688735961,1.3004332900047302,0.03916586208720954,-0.0025320952832696975,0
1.3133330345153809,1.324666976928711,1.2999999523162842,1.3166669607162476,5694000,-0.0025320952832696975,1.3157333850860595,1.2996332943439484,0.03937706534375228,0.008629907354391841,1
1.324666976928711,1.3459999561309814,1.307332992553711,1.3133330345153809,10992000,0.008629907354391841,1.3122667789459228,1.296133291721344,0.029901267898702927,-0.019627591946517642,0
